id,Text
1,“Did you see that older girl trying to do that Tik Tok dance? She’s so cheugy.”
2,"“I’m actually going to be productive today, no cap.”"
3,“You actually got tickets to the Bad Bunny concert? You’re capping.”
4,“Have y’all heard ‘Castaway’ from The Backyardigans? It’s a bop.”
5,“Hey my dude you have some serious drip. Drip check!”
6,Seeing your friend walk down the aisle at their wedding.“Sheeeeeesh.”
7,“Want to go get some boba?” “Bet?”
8,“That girl that does the seagull noises has me ded💀.”
9,“My brother loves Megan Thee Stallion. He’s a stan.”
10,Sees video of a guy named Jesse buy his mom a new car. “I stan Jesse.”
11,“This new Olivia Rodrigo album hits different.”
12,“Nothing like the feeling of seeing the elote  man coming down the street. Iykyk.”
13,“That song lives rent free in my head.”
14,"“He hates LeBron James so much, he lives rent free inside his head.”"
15,"“Beyonce gave us the greatest performance in music history, periodt.”"
16,“Did you see his Instagram post about how much he loves his girlfriend? He’s such a simp.”
17,“I love hanging out with them. They pass the vibe check.”
18,"“That dude yelled at the server, he doesn’t pass the vibe check.”"
19,“That looks like fun. Can we go do that? 🥺👉👈”
20,Make✍️ sure ✍️ to ✍️ buy ✍️ her ✍️ flowers✍️.”
21,“Car sales after seeing this video📉.”
22,“Me when I saw those photos of Jennifer Lopez with Ben Affleck👁👄👁.”
23,“Today I did ✨nothing✨.”
24,“I have some ✨personal news✨ to share.”
25,“Me just trying to ignore the person screaming behind me🙂.”
26,“Guys I got tickets to Disneyland😭.”
27,“This ‘Friends: Reunion’ has me in my feels😭.”
28,dude the party last night was lit where were you
29,she invited the entire school to her birthday shes so extra
30,nick is so salty since his parents took away his car
31,omg did you hear cristina ghosted matt
32,andrews trying to flex with that new noname smartphone of his
33,yeah like weird flex but ok
34,i lowkey rooted for daenerys to remain on the iron throne
35,paul is highkey trying to learn spanish for elena
36,did you see the new season of lucifer just landed on netflix
37,omg im shook i need to watch it asap
38,what happened at jessicas birthday party come on spill the tea
39,maria is quick to quick to clap back at everyone who says she doesnt have a nice british accent
40,you were rude im gonna leave now
41,bye felicia
42,ugh i wish i was in bora bora right now
43,im so hangry right now i could eat five burgers in one sitting
44,ngl im not in the mood to go out tonight
45,pedro pascals performance in the last of us slayed
46,do i look like booboo the fool
47,im not one of you little friends
48,whose mans is this
49,one monkey dont stop no show
50,just tryna make a dollar out of fifteen cents
51,let me call you back when i get in this house and get settled
52,god knows my heart
53,i know my car
54,see this right here is what we not finna do youve got the wrong one
55,you aint neva lied
56,do you have mcdonalds money
57,shes so boujee with that louis vuitton bag
58,those potato chips are bussin
59,lis shoes and belt are dripping today
60,you dont have to be so extra about it
61,since i saw shangchi simu liu is living rentfree inside my head
62,he got so salty after i didnt text back right away
63,that oscar slap has me shook
64,sanjit hey amir vibe check
65,amir all good
66,after his modern perspectives in poetry course he became woke to different points of view
67,this song gives me all the feels
68,im so amped for tonights basketball game
69,lets get out of here this party is basic
70,shell be ok after she blows off some steam
71,shes so nice she told me to break a leg on stage tonight
72,whats up bro
73,were done with exams so lets just chill tonight
74,the new beyonc album is cray
75,i wasnt expecting that assignment to be so hard yeah it was a real curve ball
76,i had to ditch study group because my dad called
77,hey dude hows it going
78,did you see that movie so epic
79,all the college football fans must be excited for the big game
80,this is my favorite class so far for real
81,get off my back about wearing my pajamas in the dining hall theyre really comfortable
82,i heard the greek life on campus is pretty fun
83,im going to hang out with my best friend this weekend
84,the big test is coming up time to hit the books
85,i cant even with these french fries so good
86,where are my sneakers i dunno
87,want to go to the movies tonight oh yeah im down
88,want to go to the mall later k
89,i know youre worried about the test but youll do better work if you keep your cool
90,that  off sale at the campus store is totally legit
91,have you read this sports mag
92,there was a mixup and i accidentally grabbed the wrong book for todays class
93,thank you for holding the door no worries
94,omg i got an a on my
95,final exam
96,i dont want to hear another word from you periodt
97, prof checks our attendance every single day
98,meet me after class on the quad so we can play soccer
99,my roomie and i are going to the concert tonight
100,i cant go to the football game this saturday but ill be rooting for them anyway
101,did you see the cute selfie emma posted to instagram
102,why is your friend on this date with us hes kind of a third wheel
103,i should finish my reading assignment before we play video games totes
104,last weeks class lecture was really exciting but this one was a little vanilla for me
105,so are you a wallflower or do you just like hiding behind the couch at parties
106,hey whats up whats good my man not much just got out of math class
107,i know i shouldnt eat that whole pizza by myself but yolo
108,i zoned out during the tv show and missed how it ended
